Câu hỏi (mẫu),Chủ đề,Intent,Từ khóa,"Câu trả lời (thật, có nguồn)",Nguồn,URL nguồn,Số biến thể câu hỏi trong file gốc
Nộp phí KTX bằng cách nào?,Ký túc xá,ktx_nop_phi,"nộp phí KTX, chuyển khoản, QR code","Sinh viên nộp phí KTX cho cả kỳ ở từ ngày 04/8 đến 07/8/2026, có 3 cách: (1) chuyển khoản qua ngân hàng HD Bank với cú pháp nội dung Mã số SV – Tên SV – Số điện thoại – KTX; (2) quét mã QR Code trên Hệ thống Quản lý KTX; (3) nộp trực tiếp tại các điểm giao dịch ngân hàng theo thông tin tài khoản. Nếu chuyển khoản sai cú pháp, sinh viên cần tự liên hệ ngân hàng xử lý.",Thông báo đăng ký ở KTX HK1 2026-2027 (TB 307/TB-CTSV),raw/ktx/Thong_bao_dang_ky_KTX_HK1_2026_2027.pdf,1
Sinh viên ở KTX cũ có cần đăng ký lại không?,Ký túc xá,ktx_dang_ky_lai,"đăng ký lại KTX, sinh viên ở cũ","Sinh viên đang ở KTX cũ (từ học kỳ 3 năm học 2025-2026) không cần đăng ký lại, chỉ cần thực hiện nộp phí theo đúng thời gian quy định. Sinh viên đăng ký mới (chuyển từ trọ vào KTX) cần đăng ký qua Hệ thống Quản lý KTX bằng tài khoản sinh viên, hoặc qua email ktx@ctu.edu.vn, hoặc trực tiếp tại Văn phòng Trung tâm Phục vụ Sinh viên.",Thông báo đăng ký ở KTX HK1 2026-2027 (TB 307/TB-CTSV),raw/ktx/Thong_bao_dang_ky_KTX_HK1_2026_2027.pdf,1
Trả chỗ ở KTX trước hạn có được hoàn phí không?,Ký túc xá,ktx_hoan_phi,"hoàn phí KTX, trả chỗ trước hạn","Sinh viên trả chỗ ở KTX trước hạn thông thường sẽ không được hoàn trả phí ở. Chỉ được hoàn phí trong trường hợp trả chỗ trong vòng 7 ngày kể từ ngày được duyệt chỗ ở qua Hệ thống Quản lý KTX, và phải có lý do chính đáng.",Thông báo đăng ký ở KTX HK1 2026-2027 (TB 307/TB-CTSV) - Mục 5,raw/ktx/Thong_bao_dang_ky_KTX_HK1_2026_2027.pdf,1
Sinh viên sắp tốt nghiệp có cần đóng phí KTX tiếp không?,Ký túc xá,ktx_sap_tot_nghiep,"tốt nghiệp, ngừng ở KTX","Sinh viên đã học hết chương trình đào tạo, chuẩn bị xét tốt nghiệp thì không cần nộp phí cũng như đăng ký ở tiếp, cần chủ động tìm chỗ ở khác để nhường chỗ cho sinh viên còn đang theo học. Nếu vẫn còn trạng thái ở KTX trên hệ thống, sinh viên sẽ bị báo nợ, dẫn đến chậm nhận quyết định tốt nghiệp và không được hoàn phí trả chỗ trước hạn.",Thông báo đăng ký ở KTX HK1 2026-2027 (TB 307/TB-CTSV) - Mục 4,raw/ktx/Thong_bao_dang_ky_KTX_HK1_2026_2027.pdf,1
Sinh viên Cơ sở Hậu Giang có được ở KTX khu II không?,Ký túc xá,ktx_co_so_hau_giang,"Cơ sở Hậu Giang, khu II",Sinh viên thuộc Cơ sở Hậu Giang có thể đăng ký ở KTX tại khu II nếu có học phần học tại khu II.,Thông báo đăng ký ở KTX HK1 2026-2027 (TB 307/TB-CTSV) - Mục 4,raw/ktx/Thong_bao_dang_ky_KTX_HK1_2026_2027.pdf,1
"Sinh viên 5 tốt là gì, gồm những tiêu chí nào?",Đoàn hội,doan_hoi_sv5tot,"sinh viên 5 tốt, tiêu chí","Danh hiệu Sinh viên 5 tốt do Hội Sinh viên xét chọn dựa trên 5 tiêu chí: Đạo đức tốt, Học tập tốt, Thể lực tốt, Tình nguyện tốt, và Hội nhập tốt. Tiêu chuẩn xét chọn chi tiết được quy định trong văn bản riêng của Hội Sinh viên; sinh viên muốn biết tiêu chí chấm điểm cụ thể nên liên hệ Hội Sinh viên trường/khoa hoặc theo dõi thông báo xét chọn hằng năm.",Nguồn web Đoàn - Hội ĐHCT (tổng hợp),Data_CTU_restructured/processed/doan_hoi/doan_hoi_tong_hop.md,1
"Làm sao để tham gia Đoàn, Hội hoặc câu lạc bộ ở trường?",Đoàn hội,doan_hoi_tham_gia,"tham gia đoàn hội, câu lạc bộ, CLB","Sinh viên có thể liên hệ Đoàn/Hội cơ sở của Khoa/Trường mình đang học (mỗi Khoa/Trường đều có đơn vị Đoàn - Hội trực thuộc riêng), hoặc theo dõi mục Thông báo trên trang yu.ctu.edu.vn để biết các đợt tuyển thành viên câu lạc bộ, đội nhóm.",Nguồn web Đoàn - Hội ĐHCT (tổng hợp),Data_CTU_restructured/processed/doan_hoi/doan_hoi_tong_hop.md,1
"Đoàn Thanh niên trường có những phong trào, chương trình gì?",Đoàn hội,doan_hoi_phong_trao,"phong trào, chương trình, Đoàn Thanh niên","Đoàn Thanh niên ĐHCT triển khai 3 phong trào: Thanh niên tình nguyện; Tuổi trẻ sáng tạo; Tuổi trẻ xung kích bảo vệ Tổ quốc. Và 3 chương trình: Học tập – Nghiên cứu khoa học; Khởi nghiệp – Lập nghiệp; Kỹ năng – Thể chất – Văn hóa. Ngoài ra còn có công tác giáo dục, hội nhập quốc tế và xây dựng Đoàn.",Nguồn web Đoàn - Hội ĐHCT (tổng hợp),Data_CTU_restructured/processed/doan_hoi/doan_hoi_tong_hop.md,1
Muốn xin giấy giới thiệu hoặc đơn gia nhập Hội Sinh viên thì lấy ở đâu?,Đoàn hội,doan_hoi_bieu_mau,"giấy giới thiệu, đơn gia nhập hội, biểu mẫu","Các mẫu biểu công tác Hội (giấy giới thiệu Hội Sinh viên, đơn xin gia nhập Hội, đề nghị kết nạp hội viên...) có thể tải trực tiếp tại trang Mẫu biểu của Đoàn - Hội: https://yu.ctu.edu.vn/component/content/featured.html. Trang này có thể thay đổi mẫu theo thời điểm.",Nguồn web Đoàn - Hội ĐHCT (tổng hợp),Data_CTU_restructured/processed/doan_hoi/doan_hoi_tong_hop.md,1
Đoàn/Hội của khoa mình liên hệ ở đâu?,Đoàn hội,doan_hoi_lien_he_khoa,"đoàn hội khoa, liên hệ đơn vị trực thuộc","Đoàn - Hội ĐHCT có các đơn vị trực thuộc theo từng Khoa/Trường (ví dụ: Đoàn trường Bách khoa, Đoàn trường Công nghệ Thông tin và Truyền thông, Đoàn trường Kinh tế, Đoàn khoa Luật...). Sinh viên nên tra theo đúng Khoa/Trường mình đang học, hoặc xem thông tin liên hệ cập nhật tại trang Giới thiệu: https://yu.ctu.edu.vn/gioi-thieu.html.",Nguồn web Đoàn - Hội ĐHCT (tổng hợp),Data_CTU_restructured/processed/doan_hoi/doan_hoi_tong_hop.md,1
Trường có quy định về đào tạo trực tuyến không?,Học vụ,hoc_vu_dao_tao_truc_tuyen,"đào tạo trực tuyến, học online","Trường Đại học Cần Thơ có ban hành Quy định về đào tạo trực tuyến áp dụng cho sinh viên hệ chính quy, quy định các điều kiện, hình thức tổ chức và công nhận kết quả học tập trực tuyến. Sinh viên cần tìm hiểu chi tiết nên tham khảo văn bản đầy đủ tại nguồn đính kèm.",Quy định đào tạo trực tuyến - Trường ĐHCT,raw/hoc_vu/Quy_dinh_dao_tao_truc_tuyen.pdf,1
Sinh viên có thể xin miễn hoặc công nhận điểm học phần đã học ở trường khác không?,Học vụ,hoc_vu_mien_cong_nhan_diem,"miễn học phần, công nhận điểm","Trường có quy định riêng về việc miễn, công nhận điểm học phần đối với các học phần sinh viên đã học và có kết quả đạt yêu cầu tại cơ sở đào tạo khác hoặc chương trình đào tạo khác, theo đúng quy định của Bộ Giáo dục và Đào tạo và của Trường. Sinh viên cần làm thủ tục xin miễn/công nhận điểm liên hệ Phòng Đào tạo hoặc đơn vị quản lý chương trình.","Quy định miễn, công nhận điểm học phần - Trường ĐHCT",raw/hoc_vu/Quy_dinh_mien_cong_nhan_diem.pdf,1
"Quy định công tác học vụ áp dụng cho sinh viên hệ nào, có hiệu lực từ khi nào?",Học vụ,hoc_vu_hieu_luc,"quy định học vụ, hiệu lực, chính quy","Quy định công tác học vụ dành cho sinh viên trình độ đại học hình thức chính quy (ban hành theo Quyết định số 3266/QĐ-ĐHCT ngày 15/8/2024 của Trường ĐHCT) có hiệu lực thi hành từ Học kỳ 2, năm học 2024-2025, thay thế Quyết định số 1813/QĐ-ĐHCT ngày 18/6/2021.",Quy định công tác học vụ (QĐ 3266/QĐ-ĐHCT),raw/hoc_vu/QD3266_Quy_dinh_cong_tac_hoc_vu.pdf,1
